name,year,e1,e2,e3,e4,e5
ABQ SCHOOL OF EXCELLENCE,2014,1,6,10,0,0
ABQ SCHOOL OF EXCELLENCE,2015,1,7,14,0,0
ABQ SCHOOL OF EXCELLENCE,2016,0,5,12,5,0
ABQ SCHOOL OF EXCELLENCE,2017,0,9,13,7,0
ABQ SCHOOL OF EXCELLENCE,2018,3,5,10,10,1
ABQ SIGN LANGUAGE ACADEMY,2014,0,8,1,0,0
ABQ SIGN LANGUAGE ACADEMY,2015,0,3,8,0,1
ABQ SIGN LANGUAGE ACADEMY,2016,0,1,8,1,0
ABQ SIGN LANGUAGE ACADEMY,2017,0,2,7,2,0
ABQ SIGN LANGUAGE ACADEMY,2018,0,2,5,4,0
ACADEMY OF TRADES AND TECH,2014,0,3,3,0,0
ACADEMY OF TRADES AND TECH,2015,0,5,3,0,0
ACADEMY OF TRADES AND TECH,2016,1,3,1,0,0
ACADEMY OF TRADES AND TECH,2017,3,2,1,0,1
ACADEMY OF TRADES AND TECH,2018,1,4,1,0,0
ACE LEADERSHIP HIGH SCHOOL,2014,0,2,4,0,0
ACE LEADERSHIP HIGH SCHOOL,2015,0,6,7,1,0
ACE LEADERSHIP HIGH SCHOOL,2016,3,4,8,1,0
ACE LEADERSHIP HIGH SCHOOL,2017,0,4,12,4,0
ACE LEADERSHIP HIGH SCHOOL,2018,1,1,13,2,0
ALAMOGORDO,2014,5,88,207,36,9
ALAMOGORDO,2015,2,63,179,92,7
ALAMOGORDO,2016,12,92,132,82,15
ALAMOGORDO,2017,6,85,146,73,28
ALAMOGORDO,2018,3,68,128,89,24
ALBUQUERQUE,2014,89,941,3330,1386,75
ALBUQUERQUE,2015,284,1320,2618,1534,147
ALBUQUERQUE,2016,310,1533,2366,1381,176
ALBUQUERQUE,2017,177,1356,2534,1503,211
ALBUQUERQUE,2018,171,1292,2400,1386,192
ALBUQUERQUE INSTITUTE OF MATH & SCIENCE,2014,0,2,7,8,0
ALBUQUERQUE INSTITUTE OF MATH & SCIENCE,2015,1,6,10,2,0
ALBUQUERQUE INSTITUTE OF MATH & SCIENCE,2016,0,7,7,6,0
ALBUQUERQUE INSTITUTE OF MATH & SCIENCE,2017,2,7,5,6,0
ALBUQUERQUE INSTITUTE OF MATH & SCIENCE,2018,0,4,7,6,0
ALDO LEOPOLD CHARTER,2014,0,2,5,5,0
ALDO LEOPOLD CHARTER,2015,0,1,5,7,0
ALDO LEOPOLD CHARTER,2016,0,3,4,7,0
ALDO LEOPOLD CHARTER,2017,0,4,5,7,0
ALDO LEOPOLD CHARTER,2018,0,4,6,5,1
ALMA D'ARTE CHARTER,2014,0,1,5,5,0
ALMA D'ARTE CHARTER,2015,0,0,3,15,0
ALMA D'ARTE CHARTER,2016,0,2,5,6,3
ALMA D'ARTE CHARTER,2017,0,1,2,10,2
ALMA D'ARTE CHARTER,2018,0,0,7,8,2
AMY BIEHL CHARTER HIGH SCHOOL,2014,0,0,15,8,0
AMY BIEHL CHARTER HIGH SCHOOL,2015,0,1,7,16,0
AMY BIEHL CHARTER HIGH SCHOOL,2016,0,1,10,16,1
AMY BIEHL CHARTER HIGH SCHOOL,2017,0,1,7,15,4
AMY BIEHL CHARTER HIGH SCHOOL,2018,0,1,7,13,5
ANIMAS,2014,0,3,12,2,0
ANIMAS,2015,0,2,8,5,0
ANIMAS,2016,0,1,5,5,3
ANIMAS,2017,0,3,4,8,0
ANIMAS,2018,0,2,5,7,0
ANTHONY CHARTER SCHOOL,2014,1,2,2,0,0
ANTHONY CHARTER SCHOOL,2015,0,0,6,0,0
ANTHONY CHARTER SCHOOL,2016,1,1,2,2,0
ANTHONY CHARTER SCHOOL,2017,1,3,4,1,0
ANTHONY CHARTER SCHOOL,2018,2,2,2,0,0
ARTESIA,2014,3,40,155,24,0
ARTESIA,2015,10,63,140,44,0
ARTESIA,2016,4,48,147,63,1
ARTESIA,2017,1,32,126,84,5
ARTESIA,2018,1,27,115,91,10
AZTEC,2014,0,26,128,52,4
AZTEC,2015,1,43,101,62,4
AZTEC,2016,7,35,101,45,10
AZTEC,2017,6,44,80,54,13
AZTEC,2018,2,38,78,38,17
BELEN,2014,5,63,171,17,0
BELEN,2015,5,92,127,21,3
BELEN,2016,19,69,101,54,2
BELEN,2017,11,74,98,56,4
BELEN,2018,8,50,95,53,14
BERNALILLO,2014,6,47,110,40,2
BERNALILLO,2015,8,51,111,45,2
BERNALILLO,2016,17,45,90,51,14
BERNALILLO,2017,13,65,89,42,7
BERNALILLO,2018,9,64,75,56,6
BLOOMFIELD,2014,4,51,114,18,2
BLOOMFIELD,2015,4,50,89,35,3
BLOOMFIELD,2016,14,42,99,34,6
BLOOMFIELD,2017,9,46,76,44,2
BLOOMFIELD,2018,8,37,73,38,4
CAPITAN,2014,1,3,18,15,3
CAPITAN,2015,0,7,14,13,2
CAPITAN,2016,0,5,9,17,5
CAPITAN,2017,0,3,9,20,4
CAPITAN,2018,0,0,14,15,10
CARINOS DE LOS NINOS,2014,0,0,0,0,0
CARINOS DE LOS NINOS,2015,0,0,0,0,0
CARINOS DE LOS NINOS,2016,0,0,0,0,0
CARINOS DE LOS NINOS,2017,1,1,2,3,0
CARINOS DE LOS NINOS,2018,1,0,2,0,0
CARLSBAD,2014,5,101,223,27,0
CARLSBAD,2015,22,130,150,73,4
CARLSBAD,2016,20,80,151,100,20
CARLSBAD,2017,11,81,144,123,23
CARLSBAD,2018,7,75,156,124,37
CARRIZOZO,2014,0,4,13,0,0
CARRIZOZO,2015,1,7,5,4,0
CARRIZOZO,2016,1,3,6,6,0
CARRIZOZO,2017,0,1,8,4,3
CARRIZOZO,2018,0,0,12,12,1
CENTRAL CONS.,2014,13,96,219,53,1
CENTRAL CONS.,2015,42,185,162,21,1
CENTRAL CONS.,2016,49,134,165,56,3
CENTRAL CONS.,2017,30,109,166,87,6
CENTRAL CONS.,2018,21,104,140,88,12
CESAR CHAVEZ COMMUNITY SCHOOL,2014,1,0,7,5,0
CESAR CHAVEZ COMMUNITY SCHOOL,2015,0,1,9,1,0
CESAR CHAVEZ COMMUNITY SCHOOL,2016,0,0,9,1,0
CESAR CHAVEZ COMMUNITY SCHOOL,2017,0,2,4,6,0
CESAR CHAVEZ COMMUNITY SCHOOL,2018,1,1,4,5,0
CHAMA,2014,0,9,18,0,0
CHAMA,2015,5,12,15,2,0
CHAMA,2016,1,14,16,4,0
CHAMA,2017,3,10,9,11,0
CHAMA,2018,1,11,10,10,1
CIEN AGUAS INTERNATIONAL  SCHOO,2014,1,1,17,2,0
CIEN AGUAS INTERNATIONAL  SCHOO,2015,0,0,0,0,0
CIEN AGUAS INTERNATIONAL  SCHOO,2016,0,0,0,0,0
CIEN AGUAS INTERNATIONAL  SCHOO,2017,0,0,0,0,0
CIEN AGUAS INTERNATIONAL  SCHOO,2018,0,0,0,0,0
CIEN AGUAS INTERNATIONAL  SCHOOL,2014,0,0,0,0,0
CIEN AGUAS INTERNATIONAL  SCHOOL,2015,0,0,0,0,0
CIEN AGUAS INTERNATIONAL  SCHOOL,2016,1,3,10,9,1
CIEN AGUAS INTERNATIONAL  SCHOOL,2017,0,4,8,11,4
CIEN AGUAS INTERNATIONAL  SCHOOL,2018,0,0,0,0,0
CIMARRON,2014,1,4,21,17,2
CIMARRON,2015,0,7,26,10,1
CIMARRON,2016,1,15,16,11,1
CIMARRON,2017,1,12,16,11,4
CIMARRON,2018,0,10,9,8,1
CLAYTON,2014,0,3,22,11,1
CLAYTON,2015,0,3,11,22,1
CLAYTON,2016,2,12,20,4,0
CLAYTON,2017,1,11,13,8,0
CLAYTON,2018,2,16,14,8,1
CLOUDCROFT,2014,1,2,14,10,0
CLOUDCROFT,2015,0,2,11,11,1
CLOUDCROFT,2016,1,3,9,12,3
CLOUDCROFT,2017,0,1,7,12,4
CLOUDCROFT,2018,0,3,7,21,6
CLOVIS,2014,6,75,353,64,3
CLOVIS,2015,7,139,273,80,4
CLOVIS,2016,9,97,249,127,15
CLOVIS,2017,6,116,244,125,12
CLOVIS,2018,8,82,197,144,27
COBRE CONS.,2014,2,20,51,13,2
COBRE CONS.,2015,4,27,48,19,0
COBRE CONS.,2016,4,17,45,18,2
COBRE CONS.,2017,0,11,38,25,9
COBRE CONS.,2018,1,8,40,41,13
CORAL COMMUNITY CHARTER,2014,0,0,0,5,1
CORAL COMMUNITY CHARTER,2015,0,0,1,4,4
CORAL COMMUNITY CHARTER,2016,0,1,6,5,2
CORAL COMMUNITY CHARTER,2017,1,0,7,6,3
CORAL COMMUNITY CHARTER,2018,0,1,6,4,3
CORONA,2014,0,0,9,4,0
CORONA,2015,0,0,8,6,0
CORONA,2016,0,0,5,7,1
CORONA,2017,0,0,6,8,0
CORONA,2018,0,0,5,7,1
COTTONWOOD CLASSICAL PREP,2014,0,5,20,8,1
COTTONWOOD CLASSICAL PREP,2015,1,9,25,6,0
COTTONWOOD CLASSICAL PREP,2016,2,8,14,18,1
COTTONWOOD CLASSICAL PREP,2017,2,4,20,17,2
COTTONWOOD CLASSICAL PREP,2018,0,3,18,21,3
CREATIVE ED PREP #1,2014,1,5,6,1,0
CREATIVE ED PREP #1,2015,0,0,0,0,0
CREATIVE ED PREP #1,2016,1,4,3,2,0
CREATIVE ED PREP #1,2017,0,0,0,0,0
CREATIVE ED PREP #1,2018,0,0,0,0,0
CUBA,2014,3,14,19,11,1
CUBA,2015,7,8,22,11,1
CUBA,2016,1,16,25,5,2
CUBA,2017,3,16,23,7,0
CUBA,2018,2,12,17,9,3
DEAP,2014,0,0,0,0,0
DEAP,2015,0,0,0,0,0
DEAP,2016,0,0,0,1,0
DEAP,2017,0,0,0,0,0
DEAP,2018,0,2,0,1,0
DEMING,2014,6,113,163,18,5
DEMING,2015,2,99,144,64,7
DEMING,2016,32,96,120,57,12
DEMING,2017,14,77,111,85,23
DEMING,2018,12,69,98,81,29
DES MOINES,2014,0,0,6,5,3
DES MOINES,2015,0,0,5,8,0
DES MOINES,2016,0,0,9,4,0
DES MOINES,2017,0,0,8,5,0
DES MOINES,2018,0,0,11,2,1
DEXTER,2014,3,11,46,7,0
DEXTER,2015,2,11,40,16,0
DEXTER,2016,6,13,28,18,1
DEXTER,2017,1,18,23,20,2
DEXTER,2018,2,10,20,18,4
DORA,2014,0,2,9,10,0
DORA,2015,0,2,10,9,0
DORA,2016,0,2,7,12,1
DORA,2017,0,3,7,11,0
DORA,2018,1,3,9,13,0
DREAM DINE,2014,0,0,0,0,0
DREAM DINE,2015,0,1,0,0,0
DREAM DINE,2016,0,0,0,0,0
DREAM DINE,2017,0,0,1,0,0
DREAM DINE,2018,0,2,0,0,0
DULCE,2014,2,13,31,8,0
DULCE,2015,1,6,25,31,2
DULCE,2016,2,16,23,3,0
DULCE,2017,5,18,26,5,0
DULCE,2018,1,11,26,5,0
EAST MTN HIGH SCHOOL,2014,0,0,10,15,0
EAST MTN HIGH SCHOOL,2015,0,0,0,0,0
EAST MTN HIGH SCHOOL,2016,0,6,14,2,0
EAST MTN HIGH SCHOOL,2017,0,0,0,0,0
EAST MTN HIGH SCHOOL,2018,0,0,0,0,0
ELIDA,2014,0,1,11,4,0
ELIDA,2015,0,0,8,10,0
ELIDA,2016,0,1,7,6,2
ELIDA,2017,0,2,3,9,1
ELIDA,2018,0,1,6,9,8
ESPANOLA,2014,16,53,117,51,6
ESPANOLA,2015,8,65,118,41,15
ESPANOLA,2016,20,59,94,51,14
ESPANOLA,2017,11,61,91,58,6
ESPANOLA,2018,13,47,91,45,4
ESTANCIA,2014,4,21,31,1,0
ESTANCIA,2015,2,13,23,15,0
ESTANCIA,2016,2,7,24,15,1
ESTANCIA,2017,1,17,23,5,0
ESTANCIA,2018,2,22,18,7,1
ESTANCIA VALLEY CLASSICAL ACADEMY,2014,0,0,0,0,0
ESTANCIA VALLEY CLASSICAL ACADEMY,2015,1,0,15,6,1
ESTANCIA VALLEY CLASSICAL ACADEMY,2016,4,7,3,5,1
ESTANCIA VALLEY CLASSICAL ACADEMY,2017,3,10,7,7,0
ESTANCIA VALLEY CLASSICAL ACADEMY,2018,3,8,11,4,0
EUNICE,2014,2,9,27,7,0
EUNICE,2015,1,9,28,9,0
EUNICE,2016,1,11,20,17,2
EUNICE,2017,1,5,22,20,1
EUNICE,2018,1,11,23,12,2
EXPLORE ACADEMY,2014,0,0,0,0,0
EXPLORE ACADEMY,2015,0,3,0,6,2
EXPLORE ACADEMY,2016,0,0,4,9,5
EXPLORE ACADEMY,2017,0,0,2,8,9
EXPLORE ACADEMY,2018,0,0,3,9,10
FARMINGTON,2014,13,194,460,39,0
FARMINGTON,2015,12,147,400,134,5
FARMINGTON,2016,32,120,330,198,26
FARMINGTON,2017,9,115,291,210,43
FARMINGTON,2018,7,85,238,218,68
FLOYD,2014,0,3,14,5,0
FLOYD,2015,0,1,11,9,0
FLOYD,2016,0,3,10,9,1
FLOYD,2017,0,0,6,12,4
FLOYD,2018,0,2,7,14,4
FT SUMNER,2014,0,2,24,5,0
FT SUMNER,2015,0,4,21,6,0
FT SUMNER,2016,0,8,15,6,0
FT SUMNER,2017,2,6,18,5,0
FT SUMNER,2018,3,9,17,5,1
GADSDEN,2014,35,159,529,134,10
GADSDEN,2015,8,153,500,247,11
GADSDEN,2016,73,223,385,208,31
GADSDEN,2017,62,249,342,218,26
GADSDEN,2018,44,191,296,228,37
GALLUP,2014,27,190,464,66,2
GALLUP,2015,37,199,416,97,6
GALLUP,2016,63,208,327,130,13
GALLUP,2017,41,216,332,152,22
GALLUP,2018,42,212,277,156,33
GILBERT L SENA CHARTER HS,2014,1,4,7,2,0
GILBERT L SENA CHARTER HS,2015,0,6,6,2,1
GILBERT L SENA CHARTER HS,2016,0,4,7,2,0
GILBERT L SENA CHARTER HS,2017,0,4,6,3,0
GILBERT L SENA CHARTER HS,2018,1,4,5,2,0
GRADY,2014,1,5,11,0,0
GRADY,2015,0,1,10,3,0
GRADY,2016,0,3,6,6,1
GRADY,2017,0,1,7,6,2
GRADY,2018,0,5,7,8,7
GRANTS,2014,11,45,123,30,6
GRANTS,2015,14,45,111,58,12
GRANTS,2016,24,62,71,44,6
GRANTS,2017,11,49,105,66,9
GRANTS,2018,14,68,97,54,7
HAGERMAN,2014,2,12,14,5,0
HAGERMAN,2015,0,6,16,8,0
HAGERMAN,2016,2,12,11,5,2
HAGERMAN,2017,2,7,11,10,2
HAGERMAN,2018,1,5,20,6,1
HATCH,2014,2,26,50,5,0
HATCH,2015,5,27,48,4,0
HATCH,2016,8,25,43,9,0
HATCH,2017,10,27,27,13,1
HATCH,2018,14,28,18,13,2
HEALTH LEADERSHIP HIGH SCHOOL,2014,0,1,5,0,0
