state,year,district_name,localid,NCES_leaid,count_teachers,count_not_evaluated,count_suppressed,count_level1,count_level2,count_level3,count_level4,percent_suppressed,percent_level1,percent_level2,percent_level3,percent_level4,impute_level1,impute_level2,impute_level3,impute_level4
NJ,2015,hamburg school district,371930,3406480,31,0,2,0,0,0,29,0.06451612903225806,0,0,0,0.9354838709677419,FALSE,FALSE,FALSE,FALSE
NJ,2015,hampton township school district,371980,3406630,36,0,0,0,0,25,11,0,0,0,0.6944444444444444,0.3055555555555556,FALSE,TRUE,FALSE,FALSE
NJ,2015,hardyston township school district,372030,3406780,64,0,0,0,0,29,35,0,0,0,0.453125,0.546875,FALSE,TRUE,FALSE,FALSE
NJ,2015,high point regional high school district,372165,3407140,92,0,0,0,0,56,36,0,0,0,0.6086956521739131,0.391304347826087,FALSE,TRUE,FALSE,FALSE
NJ,2015,hopatcong borough school district,372240,3407440,144,0,0,0,0,117,27,0,0,0,0.8125,0.1875,FALSE,TRUE,FALSE,FALSE
NJ,2015,kittatinny regional school district,372465,3408060,88,0,0,0,0,88,0,0,0,0,1,0,FALSE,FALSE,FALSE,FALSE
NJ,2015,lafayette township school district,372490,3408130,25,0,7,0,0,0,18,0.28,0,0,0,0.72,FALSE,FALSE,FALSE,FALSE
NJ,2015,lenape valley regional high school district,372615,3408500,66,0,0,0,0,20,46,0,0,0,0.30303030303030304,0.696969696969697,FALSE,TRUE,FALSE,FALSE
NJ,2015,montague township school district,373300,3410530,28,0,0,0,0,16,12,0,0,0,0.5714285714285714,0.42857142857142855,FALSE,TRUE,FALSE,FALSE
NJ,2015,newton public school district,373590,3411400,155,0,0,0,0,87,68,0,0,0,0.5612903225806452,0.43870967741935485,FALSE,TRUE,FALSE,FALSE
NJ,2015,ogdensburg borough school district,373840,3412150,32,0,0,0,2,13,17,0,0,0.0625,0.40625,0.53125,FALSE,TRUE,FALSE,FALSE
NJ,2015,sandyston-walpack consolidated school district,374650,3414610,18,0,5,0,0,13,0,0.2777777777777778,0,0,0.7222222222222222,0,FALSE,FALSE,FALSE,FALSE
NJ,2015,sparta township public school district,374960,3415510,257,0,0,0,1,242,14,0,0,0.0038910505836575876,0.9416342412451362,0.054474708171206226,FALSE,TRUE,FALSE,FALSE
NJ,2015,stanhope school district,375030,3415720,30,0,9,0,0,21,0,0.3,0,0,0.7,0,FALSE,FALSE,FALSE,FALSE
NJ,2015,stillwater township school district,375040,3415750,37,0,3,0,0,34,0,0.08108108108108109,0,0,0.918918918918919,0,FALSE,FALSE,FALSE,FALSE
NJ,2015,sussex-wantage regional school district,375100,3415960,137,0,0,0,0,117,20,0,0,0,0.8540145985401459,0.145985401459854,FALSE,TRUE,FALSE,FALSE
NJ,2015,sussex county educational services commission school distric,375105,3480320,1,0,1,0,0,0,0,1,0,0,0,0,FALSE,FALSE,FALSE,FALSE
NJ,2015,sussex county technical school district,375110,3415930,61,0,0,0,1,19,41,0,0,0.01639344262295082,0.3114754098360656,0.6721311475409836,FALSE,TRUE,FALSE,FALSE
NJ,2015,vernon township school district,375360,3416710,315,0,0,0,3,204,108,0,0,0.009523809523809525,0.6476190476190476,0.34285714285714286,FALSE,TRUE,FALSE,FALSE
NJ,2015,wallkill valley regional high school district,375435,3416870,56,0,8,0,0,48,0,0.14285714285714285,0,0,0.8571428571428571,0,FALSE,FALSE,FALSE,FALSE
NJ,2015,berkeley heights school district,390310,3401530,224,0,0,0,0,127,97,0,0,0,0.5669642857142857,0.4330357142857143,FALSE,TRUE,FALSE,FALSE
NJ,2015,clark township public schools,390850,3403150,176,0,0,0,1,71,104,0,0,0.005681818181818182,0.4034090909090909,0.5909090909090909,FALSE,TRUE,FALSE,FALSE
NJ,2015,cranford public school district,390980,3403570,329,0,0,0,1,133,195,0,0,0.00303951367781155,0.40425531914893614,0.5927051671732523,FALSE,TRUE,FALSE,FALSE
NJ,2015,elizabeth public schools,391320,3404590,1828,0,0,0,70,1505,253,0,0,0.038293216630196934,0.8233041575492341,0.13840262582056892,FALSE,TRUE,FALSE,FALSE
NJ,2015,garwood boro,391710,3405790,31,0,0,0,0,31,0,0,0,0,1,0,FALSE,FALSE,FALSE,FALSE
NJ,2015,hillside board of education,392190,3407290,253,0,0,0,5,211,37,0,0,0.019762845849802372,0.83399209486166,0.14624505928853754,FALSE,TRUE,FALSE,FALSE
NJ,2015,kenilworth school district,392420,3407920,120,0,6,0,0,0,114,0.05,0,0,0,0.95,FALSE,FALSE,FALSE,FALSE
NJ,2015,linden public school district,392660,3408610,531,0,0,0,2,402,127,0,0,0.003766478342749529,0.7570621468926554,0.2391713747645951,FALSE,TRUE,FALSE,FALSE
NJ,2015,morris-union jointure commisson school district,393395,3400005,97,0,0,0,0,75,22,0,0,0,0.7731958762886598,0.2268041237113402,FALSE,TRUE,FALSE,FALSE
NJ,2015,mountainside school district,393470,3411040,54,0,10,0,0,44,0,0.18518518518518517,0,0,0.8148148148148148,0,FALSE,FALSE,FALSE,FALSE
NJ,2015,new providence board of education,393560,3411310,175,0,0,0,1,35,139,0,0,0.005714285714285714,0.2,0.7942857142857143,FALSE,TRUE,FALSE,FALSE
NJ,2015,plainfield public schools,394160,3413140,476,0,0,0,13,420,43,0,0,0.0273109243697479,0.8823529411764706,0.09033613445378151,FALSE,TRUE,FALSE,FALSE
NJ,2015,rahway public school district,394290,3413530,297,0,0,0,6,252,39,0,0,0.020202020202020204,0.8484848484848485,0.13131313131313133,FALSE,TRUE,FALSE,FALSE
NJ,2015,roselle public schools,394540,3414280,250,0,0,0,9,216,25,0,0,0.036,0.864,0.1,FALSE,TRUE,FALSE,FALSE
NJ,2015,roselle park board of education,394550,3414310,175,0,0,0,0,111,64,0,0,0,0.6342857142857142,0.3657142857142857,FALSE,TRUE,FALSE,FALSE
NJ,2015,scotch plains-fanwood school district,394670,3414670,423,0,0,0,4,316,103,0,0,0.009456264775413711,0.7470449172576832,0.24349881796690306,FALSE,TRUE,FALSE,FALSE
NJ,2015,springfield public schools,395000,3415630,168,0,0,0,3,152,13,0,0,0.017857142857142856,0.9047619047619048,0.07738095238095238,FALSE,TRUE,FALSE,FALSE
NJ,2015,summit public schools,395090,3415900,338,0,0,0,1,166,171,0,0,0.0029585798816568047,0.4911242603550296,0.5059171597633136,FALSE,TRUE,FALSE,FALSE
